X Y
Точки Y, D, O и F задают четырехугольник. YD = 23 см, YO = 22 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": YDOF}]
Найдите высоту остроугольного треугольника KUH с углами 45°, 60° и 75°, а также равнобедренного треугольника MBP с основанием 25 см и равными сторонами 23 см	[{"type": "triangle", "name": "KUH"}, {"type": "triangle", "name": "MBP"}]
Определите меру недостающего угла в прямоугольном треугольнике WDR, длина катета которого равна 9 см, а гипотенуза - 20 см.	[{"type": "triangle", "name": "WDR"}]
Основания параллелограмма QS = 8 см, RP = 17 см. Найти диагональ.	[{"type": "parallelogram", "name": QSRP}]
Найдите сумму внутренних углов равностороннего треугольника XWD со стороной 96 см и прямоугольного треугольника MEC со сторонами 98 см и 128 см	[{"type": "triangle", "name": "XWD"}, {"type": "triangle", "name": "MEC"}]
Вычислите высоту разностороннего треугольника WYV со сторонами 32 см, 34 см и 40 см, а также равнобедренного треугольника DXZ с основанием 30 см и равными сторонами 28 см	[{"type": "triangle", "name": "WYV"}, {"type": "triangle", "name": "DXZ"}]
Последовательность точек E, U, M и Q задаёт трапеция, при этом расстояние от E до U равно 10 см, а расстояние между E и M составляет 15 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": EUMQ}]
Определите сумму внутренних углов прямоугольного треугольника GCU со сторонами 12 см и 16 см и разностороннего треугольника NJL со сторонами 14 см, 16 см и 20 см	[{"type": "triangle", "name": "GCU"}, {"type": "triangle", "name": "NJL"}]
Как называется четырехугольник GQME, если AB = CD и AD = BC?	[{"type": "quadrilateral", "name": "GQME"}]
Докажите, что длины противоположных сторон параллелограмма SEJV равны.	[{"type": "parallelogram", "name": "SEJV"}]
Найти периметр четырехугольника, основания которого OT = 10 см, UM = 24 см, а высота равна 14 см.	[{"type": "quadrilateral", "name": OTUM}]
Как называется квадрат RZHL, у которого все стороны имеют одинаковую длину?	[{"type": "square", "name": "RZHL"}]
Найдите периметр равностороннего треугольника JAH со стороной 5 см и равнобедренного треугольника NOU с основанием 6 см и равными сторонами 4 см	[{"type": "triangle", "name": "JAH"}, {"type": "triangle", "name": "NOU"}]
В квадрате DKHR, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "DKHR"}]
Точки C, N, D и P задают параллелограмм. CN = 25 см, CD = 23 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": CNDP}]
Последовательность точек B, X, R и Y задаёт прямоугольник, при этом расстояние от B до X равно 16 см, а расстояние между B и R составляет 22 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": BXRY}]
Найти периметр квадрата, основания которого UA = 20 см, EF = 18 см, а высота равна 16 см.	[{"type": "square", "name": UAEF}]
Определите, является ли треугольник YMF равнобедренным, если его стороны имеют длины 5, 19 и 12 единиц	[{"type": "triangle", "name": "YMF"}]
Если стороны треугольника IEB относятся как 2:3:5, найдите длину самой длинной стороны, если периметр равен 60 см.	[{"type": "triangle", "name": "IEB"}]
Вычислите длину высоты из вершины A в треугольнике GJU со сторонами длиной 3, 4 и 5 единиц и найдите ее уравнение, используя точку S(2, 3), лежащую на ней	[{"type": "triangle", "name": "GJU"}]
Точки K, Y, N и L задают четырехугольник. KY = 12 см, KN = 6 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": KYNL}]
Вычислите периметр разностороннего треугольника RVM со сторонами 94 см, 96 см и 118 см, а также равностороннего треугольника QSF со стороной 92 см	[{"type": "triangle", "name": "RVM"}, {"type": "triangle", "name": "QSF"}]
Определите площадь треугольника BPC со сторонами длиной 5, 6 и 7 единиц по формуле Герона.	[{"type": "triangle", "name": "BPC"}]
Докажите, что диагонали параллелограмма CSVP равны.	[{"type": "parallelogram", "name": "CSVP"}]
Вычислите высоту равностороннего треугольника VCO со стороной 18 см и равнобедренного треугольника BGP с основанием 16 см и равными сторонами 14 см	[{"type": "triangle", "name": "VCO"}, {"type": "triangle", "name": "BGP"}]
Последовательность точек U, V, T и H задаёт прямоугольник, при этом расстояние от U до V равно 20 см, а расстояние между U и T составляет 22 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": UVTH}]
Найдите величину ∠C в четырехугольнике SEOW, если ∠A = 110°.	[{"type": "quadrilateral", "name": "SEOW"}]
В квадрате MIZU, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "MIZU"}]
Основания параллелограмма LB = 16 см, PU = 22 см. Найти диагональ.	[{"type": "parallelogram", "name": LBPU}]
Найдите периметр параллелограмма CSUR со сторонами длиной 17 см и 22 см.	[{"type": "parallelogram", "name": "CSUR"}]
Найдите площадь трапеции UBQJ, основания которой равны 22 см и 25 см, а высота 18 см.	[{"type": "trapezoid", "name": "UBQJ"}]
Последовательность точек P, R, B и Q задаёт квадрат, при этом расстояние от P до R равно 12 см, а расстояние между P и B составляет 17 см. Найти периметр данной квадрат.	[{"type": "square", "name": PRBQ}]
В квадрате GXOH, если AB = BC = CD = DA, найдите меру ∠C.	[{"type": "square", "name": "GXOH"}]
Найдите длину диагонали квадрата NPHG со стороной 40 см.	[{"type": "square", "name": "NPHG"}]
Найдите величину ∠B в трапеции JOYP, если ∠A = 90°.	[{"type": "trapezoid", "name": "JOYP"}]
Найдите площадь трапеции QSIU с вершинами в точках (0, 0), (15, 0), (18, 20) и (0, 20).	[{"type": "trapezoid", "name": "QSIU"}]
Определите площадь разностороннего треугольника MYV со сторонами длиной 5 см, 12 см и 13 см.	[{"type": "triangle", "name": "MYV"}]
Основания четырехугольника MP = 14 см, UB = 25 см. Найти диагональ.	[{"type": "quadrilateral", "name": MPUB}]
Найдите периметр тупоугольного треугольника IEN со сторонами 12 см, 14 см и 18 см, а также остроугольного треугольника TBC с углами 30°, 60° и 90°	[{"type": "triangle", "name": "IEN"}, {"type": "triangle", "name": "TBC"}]
Вычислите углы треугольника ABE, учитывая, что угол A и угол C являются дополнительными.	[{"type": "triangle", "name": "ABE"}]
Найти периметр параллелограмма, основания которого VE = 15 см, LP = 9 см, а высота равна 8 см.	[{"type": "parallelogram", "name": VELP}]
Последовательность точек O, F, D и I задаёт параллелограмм, при этом расстояние от O до F равно 11 см, а расстояние между O и D составляет 13 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": OFDI}]
В четырехугольнике ZQDM, если AB = CD и AD = BC, найдите величину ∠A.	[{"type": "quadrilateral", "name": "ZQDM"}]
Найдите длину диагонали параллелограмма DHFL, стороны которого равны 8 см и 10 см.	[{"type": "parallelogram", "name": "DHFL"}]
Определите площадь тупоугольного треугольника MBV со сторонами 68 см, 70 см и 82 см, а также прямоугольного треугольника PYF с катетами 70 см и 90 см	[{"type": "triangle", "name": "MBV"}, {"type": "triangle", "name": "PYF"}]
Точки W, E, D и B задают четырехугольник. WE = 23 см, WD = 22 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": WEDB}]
Докажите, что диагонали параллелограмма GVJY точкой пересечения делятся пополам.	[{"type": "parallelogram", "name": "GVJY"}]
Найдите длину диагонали параллелограмма HLKV, стороны которого равны 10 см и 12 см.	[{"type": "parallelogram", "name": "HLKV"}]
Последовательность точек X, C, Q и D задаёт четырехугольник, при этом расстояние от X до C равно 9 см, а расстояние между X и Q составляет 23 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": XCQD}]
Точки Z, I, T и W задают прямоугольник. ZI = 7 см, ZT = 25 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": ZITW}]
Как называется параллелограмм ZEWQ, у которого все стороны равны и все углы прямые?	[{"type": "parallelogram", "name": "ZEWQ"}]
Найдите площадь прямоугольного треугольника SHA с катетами 100 см и 130 см, а также равностороннего треугольника TOL со стороной 100 см	[{"type": "triangle", "name": "SHA"}, {"type": "triangle", "name": "TOL"}]
Найдите длину стороны равностороннего треугольника IJS, периметр которого равен 54 см.	[{"type": "triangle", "name": "IJS"}]
Точки T, I, V и L задают трапеция. TI = 4 см, TV = 23 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": TIVL}]
Найдите площадь тупоугольного треугольника BLT с углами 120°, 40° и 20°, а также равнобедренного треугольника UGX с основанием 78 см и равными сторонами 76 см	[{"type": "triangle", "name": "BLT"}, {"type": "triangle", "name": "UGX"}]
Найдите длину высоты из вершины А в треугольнике ZEJ со сторонами длиной 11, 12 и 13 единиц. Используйте эту информацию, чтобы найти площадь треугольника.	[{"type": "triangle", "name": "ZEJ"}]
Как называется параллелограмм SVFK, у которого все стороны равны и все углы прямые?	[{"type": "parallelogram", "name": "SVFK"}]
Последовательность точек Y, M, J и H задаёт четырехугольник, при этом расстояние от Y до M равно 18 см, а расстояние между Y и J составляет 11 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": YMJH}]
